call_id,method,invite_time,response_times_ms,final_status,latency_ms,anomaly,latency_100,latency_180,latency_200,invite_to_180_gap,anomaly_flag
0000206C-000004BC-DB2D1A8B-240@2001:1234:5678:9abc:2754:3b:c00:0,INVITE,2015-08-05 15:57:18.537677,"{'100': 1013, '183': 1030, '200': 4520}",200 OK,4520.0,True,1013.0,,4520.0,,-1
000002E2-00001068-E3C73D10-6992@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.544282,"{'100': 1, '183': 4, '200': 3504}",200 OK,3504.0,True,1.0,,3504.0,,-1
00002074-000004BC-DB2D1A8B-241@2001:1234:5678:9abc:2754:3b:1400:0,INVITE,2015-08-05 15:57:18.563157,"{'100': 1007, '183': 1070, '200': 4529}",200 OK,4529.0,True,1007.0,,4529.0,,-1
000002E3-00001068-E3C73D10-6993@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.569836,"{'100': 1, '183': 3, '200': 3519}",200 OK,3519.0,True,1.0,,3519.0,,-1
0000222A-000004BC-DB2D1A8B-242@2001:1234:5678:9abc:2754:3b:ea00:0,INVITE,2015-08-05 15:57:18.588399,"{'100': 1028, '183': 1054, '200': 4538}",200 OK,4538.0,True,1028.0,,4538.0,,-1
000002E4-00001068-E3C73D10-6994@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.592360,"{'100': 2, '183': 4, '200': 3506}",200 OK,3506.0,True,2.0,,3506.0,,-1
000022FE-000004BC-DB2D1A8B-243@2001:1234:5678:9abc:2754:3c:5e00:0,INVITE,2015-08-05 15:57:18.613760,"{'100': 1028, '183': 1033, '200': 4551}",200 OK,4551.0,True,1028.0,,4551.0,,-1
000002E5-00001068-E3C73D10-6995@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.637008,"{'100': 1, '183': 4, '200': 3514}",200 OK,3514.0,True,1.0,,3514.0,,-1
000025FD-000004BC-DB2D1A8B-244@2001:1234:5678:9abc:2754:3d:dd00:0,INVITE,2015-08-05 15:57:18.640866,"{'100': 1007, '183': 1019, '200': 4520}",200 OK,4520.0,True,1007.0,,4520.0,,-1
000002E6-00001068-E3C73D10-6996@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.645098,"{'100': 2, '183': 3, '200': 3506}",200 OK,3506.0,True,2.0,,3506.0,,-1
00002765-000004BC-DB2D1A8B-245@2001:1234:5678:9abc:2754:3e:8500:0,INVITE,2015-08-05 15:57:18.663597,"{'100': 1006, '183': 1034, '200': 4540}",200 OK,4540.0,True,1006.0,,4540.0,,-1
000002E7-00001068-E3C73D10-6997@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.669887,"{'100': 2, '183': 3, '200': 3520}",200 OK,3520.0,True,2.0,,3520.0,,-1
00002977-000004BC-DB2D1A8B-246@2001:1234:5678:9abc:2754:3f:9700:0,INVITE,2015-08-05 15:57:18.688080,"{'100': 1012, '183': 1016, '200': 4517}",200 OK,4517.0,True,1012.0,,4517.0,,-1
00002A6B-000004BC-DB2D1A8B-247@2001:1234:5678:9abc:2754:40:b00:0,INVITE,2015-08-05 15:57:18.713483,"{'100': 1035, '183': 1077, '200': 4547}",200 OK,4547.0,True,1035.0,,4547.0,,-1
000002E9-00001068-E3C73D10-6998@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.716562,"{'100': 1, '183': 3, '200': 3505}",200 OK,3505.0,True,1.0,,3505.0,,-1
00002B6F-000004BC-DB2D1A8B-248@2001:1234:5678:9abc:2754:40:8f00:0,INVITE,2015-08-05 15:57:18.738799,"{'100': 1016, '183': 1046, '200': 4521}",200 OK,4521.0,True,1016.0,,4521.0,,-1
000002EA-00001068-E3C73D10-6999@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.743440,"{'100': 1, '183': 3, '200': 3507}",200 OK,3507.0,True,1.0,,3507.0,,-1
000002EB-00001068-E3C73D10-7000@2001:1234:5678:aaaa:219:99ff:fe9d:1d71,INVITE,2015-08-05 15:57:18.745675,"{'100': 1, '183': 4, '200': 3506}",200 OK,3506.0,True,1.0,,3506.0,,-1
00002BA8-000004BC-DB2D1A8B-249@2001:1234:5678:9abc:2754:40:a800:0,INVITE,2015-08-05 15:57:18.765051,"{'100': 1012, '183': 1030, '200': 4559}",200 OK,4559.0,True,1012.0,,4559.0,,-1
